example_id                                                 | status  | run_time        |
./spec/concepts/user/confirm_spec.rb[1:1:1]                | passed  | 0.05865 seconds |
./spec/concepts/user/confirm_spec.rb[1:2:1]                | passed  | 0.8294 seconds  |
./spec/concepts/user/confirm_spec.rb[1:2:2]                | passed  | 0.76519 seconds |
./spec/concepts/user/confirm_spec.rb[1:2:3]                | passed  | 0.009 seconds   |
./spec/concepts/user/create_spec.rb[1:1:1]                 | passed  | 0.00698 seconds |
./spec/concepts/user/create_spec.rb[1:2:1]                 | passed  | 0.00612 seconds |
./spec/concepts/user/create_spec.rb[1:3:1]                 | passed  | 0.01366 seconds |
./spec/concepts/user/create_spec.rb[1:4:1]                 | passed  | 0.82131 seconds |
./spec/concepts/user/create_spec.rb[1:5:1]                 | passed  | 0.01328 seconds |
./spec/concepts/user/create_spec.rb[1:6:1]                 | passed  | 0.83707 seconds |
./spec/concepts/user/search_spec.rb[1:1:1]                 | passed  | 0.78498 seconds |
./spec/concepts/user/search_spec.rb[1:1:2]                 | passed  | 0.84117 seconds |
./spec/concepts/user/search_spec.rb[1:1:3]                 | passed  | 0.89013 seconds |
./spec/concepts/user/search_spec.rb[1:1:4:1]               | passed  | 0.84204 seconds |
./spec/concepts/user/search_spec.rb[1:1:4:2]               | passed  | 0.81868 seconds |
./spec/concepts/user/search_spec.rb[1:2:1]                 | passed  | 1.54 seconds    |
./spec/concepts/user/search_spec.rb[1:2:2]                 | passed  | 1.53 seconds    |
./spec/concepts/user/update_spec.rb[1:1:1]                 | passed  | 0.85815 seconds |
./spec/concepts/user/update_spec.rb[1:1:2]                 | passed  | 1.52 seconds    |
./spec/features/admin/user_confirm_spec.rb[1:1:1:1]        | passed  | 7.92 seconds    |
./spec/features/admin/user_confirm_spec.rb[1:1:1:2]        | passed  | 0.99228 seconds |
./spec/features/admin/user_confirm_spec.rb[1:1:2:1]        | pending | 0.99599 seconds |
./spec/features/admin/user_confirm_spec.rb[1:1:2:2]        | pending | 0.94553 seconds |
./spec/features/recommendation/recommendation_spec.rb[1:1] | passed  | 1.68 seconds    |
./spec/features/recommendation/recommendation_spec.rb[1:2] | passed  | 6.93 seconds    |
./spec/features/recommendation/recommendation_spec.rb[1:3] | passed  | 1.98 seconds    |
./spec/features/session/sign_in_spec.rb[1:1:1]             | passed  | 0.88808 seconds |
./spec/features/session/sign_out_spec.rb[1:1]              | passed  | 0.84217 seconds |
./spec/features/session/sign_up_sleeping_spec.rb[1:1:1:1]  | passed  | 0.16515 seconds |
./spec/features/session/sign_up_sleeping_spec.rb[1:1:2:1]  | passed  | 0.08652 seconds |
./spec/features/session/sign_up_sleeping_spec.rb[1:1:2:2]  | passed  | 0.07637 seconds |
./spec/features/session/sign_up_sleeping_spec.rb[1:1:2:3]  | passed  | 0.07291 seconds |
./spec/features/session/sign_up_sleeping_spec.rb[1:1:2:4]  | passed  | 0.06434 seconds |
./spec/features/session/sign_up_sleeping_spec.rb[1:1:2:5]  | passed  | 0.07149 seconds |
./spec/features/session/sign_up_spec.rb[1:1:1]             | passed  | 0.02958 seconds |
./spec/features/session/sign_up_spec.rb[1:1:2]             | passed  | 0.0407 seconds  |
./spec/features/session/sign_up_spec.rb[1:1:3]             | passed  | 0.02905 seconds |
./spec/features/session/sign_up_spec.rb[1:1:4]             | passed  | 0.03919 seconds |
./spec/features/session/sign_up_spec.rb[1:1:5]             | passed  | 0.02576 seconds |
./spec/features/session/sign_up_spec.rb[1:2:1]             | passed  | 1.05 seconds    |
./spec/features/session/sign_up_spec.rb[1:2:2]             | passed  | 0.70677 seconds |
./spec/features/session/sign_up_spec.rb[1:2:3]             | passed  | 0.90402 seconds |
./spec/features/session/sign_up_spec.rb[1:2:4]             | passed  | 0.68873 seconds |
./spec/features/session/sign_up_spec.rb[1:2:5]             | passed  | 0.67841 seconds |
./spec/features/session/sign_up_spec.rb[1:2:6]             | passed  | 0.68924 seconds |
./spec/features/session/sign_up_spec.rb[1:3:1]             | passed  | 1.93 seconds    |
./spec/features/session/sign_up_spec.rb[1:4:1]             | passed  | 0.14097 seconds |
./spec/features/session/wake_up_spec.rb[1:1:1]             | passed  | 0.04876 seconds |
./spec/features/session/wake_up_spec.rb[1:1:2:1]           | passed  | 0.06594 seconds |
./spec/features/session/wake_up_spec.rb[1:1:2:2]           | passed  | 0.80621 seconds |
./spec/features/session/wake_up_spec.rb[1:1:3:1]           | passed  | 0.70122 seconds |
./spec/features/users_page/infinite_scroll_spec.rb[1:1:1]  | passed  | 3.82 seconds    |
./spec/mailers/user_mailer_spec.rb[1:1:1:1]                | passed  | 0.8557 seconds  |
./spec/mailers/user_mailer_spec.rb[1:1:1:2]                | passed  | 0.85582 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:3]                | passed  | 0.8966 seconds  |
./spec/mailers/user_mailer_spec.rb[1:1:1:4]                | passed  | 0.84539 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:2:1]                | passed  | 0.86101 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:2:2]                | passed  | 0.83953 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:2:3]                | passed  | 0.84778 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:2:4]                | passed  | 0.84176 seconds |
./spec/mailers/user_mailer_spec.rb[1:2:1:1]                | passed  | 0.83786 seconds |
./spec/mailers/user_mailer_spec.rb[1:2:1:2]                | passed  | 0.85411 seconds |
./spec/mailers/user_mailer_spec.rb[1:2:1:3]                | passed  | 0.84894 seconds |
./spec/mailers/user_mailer_spec.rb[1:2:1:4]                | passed  | 0.83844 seconds |
./spec/mailers/user_mailer_spec.rb[1:2:1:5]                | passed  | 0.85342 seconds |
./spec/mailers/user_mailer_spec.rb[1:2:2:1]                | passed  | 0.86748 seconds |
./spec/mailers/user_mailer_spec.rb[1:2:2:2]                | passed  | 0.84488 seconds |
./spec/mailers/user_mailer_spec.rb[1:2:2:3]                | passed  | 0.85327 seconds |
./spec/mailers/user_mailer_spec.rb[1:2:2:4]                | passed  | 0.86461 seconds |
./spec/mailers/user_mailer_spec.rb[1:2:2:5]                | passed  | 0.84783 seconds |
./spec/mailers/user_mailer_spec.rb[1:2:3:1]                | passed  | 0.89031 seconds |
./spec/mailers/user_mailer_spec.rb[1:2:3:2]                | passed  | 0.9208 seconds  |
./spec/mailers/user_mailer_spec.rb[1:2:3:3]                | passed  | 0.84241 seconds |
./spec/mailers/user_mailer_spec.rb[1:2:3:4]                | passed  | 0.83876 seconds |
./spec/mailers/user_mailer_spec.rb[1:2:3:5]                | passed  | 0.85045 seconds |
./spec/mailers/user_mailer_spec.rb[1:3:1:1]                | passed  | 1.63 seconds    |
./spec/mailers/user_mailer_spec.rb[1:3:1:2]                | passed  | 1.64 seconds    |
./spec/mailers/user_mailer_spec.rb[1:3:1:3]                | passed  | 1.63 seconds    |
./spec/mailers/user_mailer_spec.rb[1:3:1:4]                | passed  | 1.7 seconds     |
./spec/mailers/user_mailer_spec.rb[1:3:1:5]                | passed  | 1.77 seconds    |
